SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	nb_62_seg	proportion	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	Event_len_min	debut	fin	Genotype	SegHpM_NWT	SegHpM_DC	SegHpM_Ntel	SegHpM_Ntkd	SegHpM_SFA	exp_local_hits_seg_NWT	exp_local_hits_seg_Ntel	exp_local_hits_seg_Ntkd	exp_local_hits_seg_SFA	exp_local_hits_seg_DC	Seg_Obs_Exp_HpM_NWT	Seg_Obs_Exp_HpM_Ntel	Seg_Obs_Exp_HpM_Ntkd	Seg_Obs_Exp_HpM_SFA	Seg_Obs_Exp_HpM_DC	boundary_cross	hotspot_overlapW	hotspot_boundary_crossW	est_dist_DSBsW	hotspot_overlapF	hotspot_boundary_crossF	est_dist_DSBsF	SegType	seg_cat	len_cat	Classification	Notes
553	62	3	120	(2:6)	7	2	147427	147474	147477	147547	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	6.1814556331007	2	0	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	429	147338	148341	OM	0.492121788184016	0	0.369890739561831	0.812673568545287	0.116039658781351	18.2243170577045	15.7147799619531	16.5400481927711	2.10281547241598	0.107642358909322	0.027	0.0235	0.0491	0.0552	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
556	564	0	1129	(6:2)	1	1	147698	147855	147855	148827	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	56.2313060817547	2	0	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	429	147338	148341	OM	237.229708588194	1.4146	204.951977691932	212.719832106127	25.5871448980422	171.460449651237	147.849888142042	155.614286746988	19.7839889029803	1.0127351934052	1.3836	1.3862	1.367	1.2933	1.3968	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
561	81	0	162	(2:6)	2	1	491262	491327	491327	491424	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	2.62816353017521	1	0	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	2429	488293.75	491375.75	OM	217.08792398595	5.9854	239.115558513679	135.466732605444	366.564180346668	47.4545159614355	57.5741665773969	33.954753133369	58.1250403320836	2.15958061060525	4.5747	4.1532	3.9896	6.3065	2.7716	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
563	558	18	1097	(6:2)	5	2	467618	467945	467963	468715	9	348.9409	348.3427	456.3054	342.4122	3.829	2	2740	28.7628865979381	1	0	1	5	OM6	52	6_5	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	1141	466398.75	468338.75	OM	305.863093683213	3.5062	319.713230291233	410.580390610203	317.417783621976	139.703710693431	139.464212372263	182.688694817518	137.089847956204	1.53299744525547	2.1894	2.2924	2.2474	2.3154	2.2872	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
565	716	572	859	(6:2)	6	4	1465358	1465388	1465960	1466217	10	76.6743	131.3457	55.9603	19.937	1.1034	2	2418	36.253164556962	1	0	1	4	OM7	52	5_6	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	1532	1464113.5	1466088.5	OM	73.2048164131852	1.1034	129.657306817393	55.3599236174787	15.0899572826286	27.2387194789082	46.6608586848635	19.8800238626964	7.08266459884202	0.391985359801489	2.6875	2.7787	2.7847	2.1305	2.8149	0	1	0	0	0	0	0	6:2/2:6 Segment	single	500_750	AC	
566	905	0	1810	(6:2)	34	1	1268647	1269918	1269918	1270457	1	1123.5393	1147.857	1199.6715	522.5336	40.7518	1	1809	100	1	0	1	4	OM1	53	34	1	0	1	15	(6:2)_(4:4aCO)	1	1269282.5	1270187.5	OM	1123.53934868679	40.7518	1147.85698596258	1199.6715224847	522.533585885624	1124.16038308458	1148.49152570481	1200.33466832504	522.822452183527	40.7743272526258	0.9994	0.9994	0.9994	0.9994	0.9994	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
567	774	148	1401	(6:2)	34	2	1474578	1475249	1475397	1475979	2	5.8452	3.3213	1.9159	3.9238	0	1	1400	100	1	0	1	4	OM2	53	34	1	0	1	15	(6:2)_(4:4aCO)	149	1474913.75	1475687.75	OM	5.84524655648324	0	3.32131476667133	1.91590919452123	3.92384104801593	5.84937514285714	3.32367235714286	1.9172685	3.92660271428571	0	0.9993	0.9993	0.9993	0.9993	0	1	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
569	574	507	640	(6:2)	127	15	253849	253915	254422	254489	16	238.9321	258.1176	346.0234	233.8893	7.8088	2	1105	68.3333333333333	1	0	1	7	OM3	53	128_127	1	0	3	20	(3:5)_(6:2)_(4:4aCO)	574	253615.75	254455.75	OM	236.062019613547	7.8088	255.847563117023	340.323485337094	230.3008097235	138.386012669683	149.497976470588	200.411742986425	135.465295927602	4.52274389140271	1.7058	1.7114	1.6981	1.7001	1.7266	0	1	0	0	1	0	0	6:2/2:6 Segment	single	500_750	AC	
571	305	89	521	(2:6)	2	2	522739	522810	522899	523260	6	976.8133	861.088	670.1094	130.5188	12.334	2	1378	26.8959435626102	1	0	1	5	OM4	53	1_2	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	890	521945.5	523079.5	OM	962.715448679563	12.334	851.989105281369	655.835371482305	126.099296855808	369.317655515239	325.563750362845	253.35776298984	49.3470934687954	4.66329027576197	2.6067	2.617	2.5886	2.5554	2.6449	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
573	201	0	402	(6:2)	8	1	1497133	1497214	1497214	1497535	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	20.8290155440415	2	0	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	875	1497082	1498047	OM	2.0760137629592	0	0.968137498166296	0.829377136046464	1.05546072396727	44.750449478673	51.0608968720379	28.6086443601896	7.98547279620853	0.25728	0.0464	0.019	0.029	0.1322	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
575	113	24	202	(2:6)	78	2	1497885	1497983	1498007	1498087	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	11.7098445595855	2	0	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	875	1497082	1498047	OM	101.748580301134	0.6752	122.507452854544	67.6310444491068	17.2052802348617	22.4865442654028	25.6574655924171	14.3754879620853	4.01260075829384	0.12928	4.5249	4.7747	4.7046	4.2878	5.2228	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
576	232	101	363	(2:6)	12	5	79940	80081	80182	80303	5	117.0841	120.3272	95.7115	61.1526	2.5946	1	362	100	1	0	1	5	OM8	53	12	1	0	1	16	(2:6)_(4:4aCO)	102	80010.5	80242.5	OM	117.084075463534	2.5946	120.327218011323	95.7115418031064	61.1526000752059	117.407536740331	120.659595580111	95.9758964088398	61.3215298342541	2.60176740331492	0.9972	0.9972	0.9972	0.9972	0.9972	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
577	482	0	965	(6:2)	56	1	398049	398825	398825	399014	3	969.7964	1270.3591	1435.7821	2114.3486	52.8904	2	1444	58.3535108958838	1	0	1	7	OM3	54	56_8	1	0	1	8	(6:2)_(5:3)_(4:4aCO)	208	398437	399263	OM	966.628216994641	52.8904	1268.29653152949	1432.62977705643	2110.89693955833	648.098009695291	848.958816828255	959.508120844875	1412.98227077562	35.3457313019391	1.4915	1.4939	1.4931	1.4939	1.4964	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
579	458	43	874	(2:6)	56	3	39690	40189	40232	40564	3	258.3457	210.8263	178.5606	142.6442	5.3054	1	873	100	1	0	1	6	OM6	54	56	1	0	1	16	(2:6)_(4:4aCO)	44	39939.75	40397.75	OM	258.345734291436	5.3054	210.826318752972	178.56063648077	142.644151377502	258.641628636884	211.067796334479	178.765136769759	142.807595418099	5.31147720504009	0.9989	0.9989	0.9989	0.9989	0.9989	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
582	41	14	68	2:6	78	2	12532	12571	12585	12600	32	34.8172	38.4106	54.4866	8.7394	0.1384	4	1598	2.84524635669674	1	0	0	5	OM7	54	7_7_78_8	1	1	1	4	3:5_4:4_2:6_3:5	1284	11935.5	13376.5	OM	0.147836585962597	0	0.0403098886001671	0	0	1.4815829787234	1.63449361702128	2.31857872340426	0.371889361702128	0.00588936170212766	0.0998	0.0247	0	0	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	IN	Phasing reveals incompatibility
586	446	63	828	(2:6)	34	3	228115	228711	228774	228943	7	183.163	144.1069	161.2861	115.3237	2.008	3	1302	39.8214285714286	1	0	1	5	OM8	54	3_3_34	1	0	1	12	(3:5)_(4:4)_(2:6)_(4:4aCO)	939	227738.25	228858.25	OM	181.143128522531	2.008	143.148016284041	159.07517483043	113.263409945007	116.481539170507	91.6440193548387	102.569040552995	73.3394958525346	1.27697695852535	1.5551	1.562	1.5509	1.5444	1.5725	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
587	346	0	692	(2:6)	34	1	1509719	1509983	1509983	1510411	3	15.231	17.7871	11.2172	4.8259	0	3	1293	38.021978021978	2	0	1	4	OM1	55	34_34_34	1	0	1	12	(2:6)_(4:4)_(2:6)_(4:4aCO)	528	1509851.25	1510761.25	OM	13.0250233767777	0	14.6138849978913	9.35109718115292	2.83116760588775	8.15147099767981	9.51946883217324	6.00332745552978	2.58277092034029	0	1.5979	1.5352	1.5577	1.0962	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
589	301	0	602	(2:6)	34	1	1510411	1510510	1510510	1511013	3	15.231	17.7871	11.2172	4.8259	0	3	1293	33.0769230769231	2	0	1	4	OM1	55	34_34_34	1	0	1	12	(2:6)_(4:4)_(2:6)_(4:4aCO)	528	1509851.25	1510761.25	OM	2.20594591801022	0	3.17317842667916	1.86609855610454	1.99478175496458	7.09130858468678	8.28138762567672	5.22254787316319	2.24686140757927	0	0.3111	0.3832	0.3573	0.8878	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
590	1286	591	1982	(6:2)	56	4	104114	105370	105961	106096	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	38.3880597014925	2	0	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	2702	104742	108092	OM	21.5882425654407	0.11	17.9428016294103	20.5258838608026	11.0632810887271	219.965314657329	235.345942021011	199.719169784892	144.514966983492	7.30811685842921	0.0981	0.0762	0.1028	0.0766	0.0151	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	500_750	AC	
592	115	0	230	(6:2)	12	1	106583	106692	106692	106813	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3.43283582089552	2	0	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	2702	104742	108092	OM	125.407335268081	7.3978	144.830228955201	105.5499430613	102.977394501737	25.5257428714357	27.3105785392696	23.1762911455728	16.7701525762881	0.848066033016508	4.913	5.3031	4.5542	6.1405	8.7231	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
597	114	0	227	(2:6)	6	1	89605	89727	89727	89832	16	163.9178	178.6514	161.1557	75.7695	1.5134	6	4113	3.16402997502082	1	0	1	6	OM6	55	46_3_6_6_36_35	1	0	2	31	(4:4ai)_(3:5)_(2:6)_(3:5)_(3:5a)_(3:5b)_(4:4bCO)	3093	88153.5	91756.5	OM	0.847009614297205	0	0.606348746139486	0.987710952539657	0.580198293906753	9.04676406515925	9.85992409433504	8.89432139557501	4.18178373450036	0.0835258448820812	0.0936	0.0615	0.111	0.1387	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	IC	
602	574	228	919	(2:6)	8	4	26685	27044	27272	27604	13	1247.9193	1106.5389	1190.0579	303.2866	35.0896	4	1961	31.9243604004449	1	0	1	5	OM7	55	7_8_34_4	1	0	2	32	(3:5)_(2:6)_(4:4aCO)_(3:5a)_(4:4a)	1635	26658	28456	OM	1219.10929992738	35.0896	1076.25882189477	1166.66487301692	290.827495880607	584.822966190719	518.566674706782	557.706889393167	142.131762060173	16.4443357470678	2.0846	2.0754	2.0919	2.0462	2.1338	0	1	0	0	1	0	0	6:2/2:6 Segment	single	150_300	AC	
605	727	0	1454	(2:6)	34	1	321624	322875	322875	323078	1	159.0478	162.669	125.4035	64.1326	0.6328	1	1453	100	1	0	1	5	OM9	55	34	1	0	1	16	(2:6)_(4:4aCO)	1	322249.5	322976.5	OM	159.047760455852	0.6328	162.669005065643	125.403483324839	64.1326185537373	159.15726166552	162.780953888507	125.48980660702	64.1767380591879	0.633235512732278	0.9993	0.9993	0.9993	0.9993	0.9993	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
608	464	0	927	2:6	2	1	610218	610674	610674	611145	5	2075.566	2231.4287	2643.7348	5150.291	123.4098	4	1310	36.7088607594937	1	0	0	7	OM3	56	2_12_2_2	1	1	2	14	3:5_3:5a_2:6_3:5a	1218	609915.5	611179.5	OM	642.828184354903	50.028	598.403597079217	894.852019988847	3731.15989553259	1468.74021526718	1579.03389687023	1870.79554167939	3644.51889847328	87.3289195419847	0.4377	0.379	0.4783	1.0238	0.5729	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	IN	
610	338	167	508	(2:6)	34	2	168217	168241	168408	168725	12	350.1588	326.3639	408.6037	120.8176	8.0342	4	1368	26.8253968253968	1	0	1	6	OM4	56	34_2_1_2	1	0	2	32	(2:6)_(3:5)_(4:4aCO)_(3:5a)_(4:4a)	1152	168229	169489	OM	7.79012786734706	0	5.95216015119142	11.3332205175052	8.38506575721583	130.029729824561	121.193611988304	151.732952923977	44.8650152046784	2.98346023391813	0.0599	0.0491	0.0747	0.1869	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	150_300	AC	
615	76	7	144	(6:2)	4	3	328176	328266	328273	328320	19	571.1656	467.777	481.3628	173.9831	8.8784	3	5380	1.55070393797184	1	0	1	5	OM9	56	3_4_5	1	0	2	32	(5:3)_(6:2)_(5:3a)_(4:4aCO)	4422	327524.5	332425.5	OM	320.349378686735	5.5122	257.171887993118	260.976838702476	23.5005317579386	15.2877037918216	12.5204252788104	12.8840600743494	4.65679672862454	0.237637472118959	20.9547	20.5402	20.2558	5.0465	23.1958	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CC1	
617	102	0	204	6:2	34	1	146641	146798	146798	146845	1	1.3128	1.1125	2.1949	0.8101	0	1	203	100	1	0	0	5	OM2	57	34	1	1	1	10	6:2	1	146719.5	146821.5	OM	1.31282489225919	0	1.11247290573464	2.19486877392711	0.810076859320153	1.31926699507389	1.1179802955665	2.20571231527094	0.814090640394089	0	0.9951	0.9951	0.9951	0.9951	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN1	
619	639	42	1236	(6:2)	7	2	677169	677370	677412	678405	10	1288.2638	1344.102	1208.3146	1039.7039	57.151	3	2799	28.3119184758529	1	0	1	7	OM3	57	8_7_567	1	0	3	20	(5:3)_(6:2)_(3:5)_(4:4aCO)	1715	677022	679279	OM	1182.60806675915	56.8356	1229.33117276198	1087.21100348194	969.517951374632	568.879620150053	593.537003215434	533.575150267953	459.11897834941	25.2370975348339	2.0788	2.0712	2.0376	2.1117	2.2521	0	2	0	851.5	1	0	0	6:2/2:6 Segment	single	30_150	AC	
622	124	0	247	6:2	7	1	169022	169147	169147	169269	15	342.9468	320.5941	397.7333	112.6833	8.0342	4	906	15.1219512195122	1	0	0	6	OM6	57	8_7_7_78	1	1	2	13	5:3_6:2_5:3_5:3a	733	168806.75	169626.75	OM	3.29101444610376	0	3.44144423617208	16.5677384911973	3.25561266813712	93.4965337748344	87.4025857615894	108.432809161148	30.7205023178808	2.19033929359823	0.0352	0.0394	0.1528	0.106	0	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	IN	
625	420	0	840	6:2	78	1	66291	67085	67085	67131	18	2588.4697	2700.2937	2279.764	2154.3598	156.121	4	3276	15.4525386313466	1	0	0	5	OM7	57	78_8_7_8	1	1	2	17	6:2_5:3_4:4_5:3a	2159	66687.75	69405.75	OM	127.497952645079	1.192	181.816802297948	174.715415229182	75.1924984800519	663.71017948718	692.383	584.554871794872	552.399948717949	40.0310256410256	0.1921	0.2626	0.2989	0.1361	0.0298	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	IN	Phasing reveals incompatibility
631	859	541	1177	(6:2)	78	6	401545	401859	402400	402722	12	489.0439	495.5395	392.827	757.2819	4.9238	3	2688	37.2829861111111	1	0	1	5	OM8	57	8_8_78	1	0	1	12	(5:3)_(4:4)_(6:2)_(4:4aCO)	1920	400257	402561	OM	73.6180186707032	0.0584	74.7523378323793	57.1889142481764	135.818818689009	214.138642224702	216.982883742559	172.007953497024	331.592558147321	2.15599427083333	0.3438	0.3445	0.3325	0.4096	0.0271	0	0	0	0	1	0	0	6:2/2:6 Segment	single	500_750	AC	
633	15	6	24	2:6	7	2	362373	362383	362389	362397	6	4.6008	5.1801	8.2065	1.3226	0	2	100	20.2702702702703	1	0	0	5	OM9	57	8_7	1	1	1	8	3:5_2:6	47	362319.25	362393.25	OM	0.420203990276637	0	0.414601707810651	1.28957542390823	0.044915350683471	1.104192	1.243224	1.96956	0.317424	0	0.3806	0.3335	0.6548	0.1415	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	<30	CN2	
635	299	0	598	(6:2)	7	1	245661	245875	245875	246259	27	592.2855	542.6593	482.1291	413.2169	19.5584	6	5500	6.01609657947686	1	0	1	6	OM4	58	8_7_8_58_6_7	1	0	3	20	(5:3)_(6:2)_(5:3a)_(5:3b)_(4:4aCO)_(3:5)_(4:4a)	4440	245570.5	250540.5	OM	304.497255671495	12.8998	271.220234256157	250.192535421177	129.485654208451	64.3975870909091	59.0018657090909	52.4205821454545	44.9279465818182	2.12653149090909	4.7284	4.5968	4.7728	2.8821	6.0661	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CC5	Unsure
641	176	30	322	(2:6)	6	2	189847	190129	190159	190169	18	221.6811	234.8578	258.4322	97.9034	4.826	4	2523	8.08823529411765	2	0	1	6	OM6	58	5_6_6_6	1	0	1	12	(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	1828	189581.75	191757.75	OM	0.637557780057911	0	0.204750228199856	0.347074127120264	0.482865028394465	28.292237098692	29.9739245342846	32.9826271898534	12.4950038842648	0.615922314704717	0.0225	0.0068	0.0105	0.0386	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
643	188	22	355	(2:6)	6	3	191505	191633	191655	191860	18	221.6811	234.8578	258.4322	97.9034	4.826	4	2523	8.63970588235294	2	0	1	6	OM6	58	5_6_6_6	1	0	1	12	(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	1828	189581.75	191757.75	OM	167.664292838235	2.7218	184.770326840344	185.456909367424	81.0825115050915	31.1917520808561	33.045786365438	36.3628343242172	13.7755477606025	0.679044787950852	5.3753	5.5913	5.1002	5.886	4.0083	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
650	1808	968	2648	6:2	1	10	75778	76021	76989	78426	44	1776.9153	1790.0379	1716.6389	1648.7529	38.6114	7	6244	34.4512195121951	1	0	0	7	OM4	59	6_6_6_6_6_15_1	1	1	3	30	5:3_4:4_5:3_4:4_5:3_5:3a_6:2	4252	72459.5	77707.5	OM	1454.18077440507	36.1634	1483.37989459716	1349.7402737484	1345.68551386153	753.566898526586	759.132024215247	728.00445342729	699.214874951954	16.374597565663	1.9297	1.954	1.854	1.9246	2.2085	1	1	0	0	1	0	0	6:2/2:6 Segment	single	750_1000	CN5	
655	226	0	452	2:6	34	1	413051	413440	413440	413503	22	487.6498	840.4004	916.3053	747.1765	24.417	8	3811	6.38598474145239	1	0	0	7	OM5	59	3_3_4_4_34_3_4_4	1	1	2	18	3:5_4:4_3:5a_4:4_2:6_3:5a_4:4_3:5a	3267	410492	414031	OM	205.895654171143	11.298	413.752799561149	420.828879453755	413.732501025892	57.8372368407242	99.674883442666	108.677511309368	88.618152191026	2.89595486748885	3.5599	4.151	3.8723	4.6687	3.9013	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AN	
659	961	256	1666	(2:6)	34	2	224681	225229	225485	226347	2	499.1726	446.7751	558.4139	657.6354	5.7904	1	1665	100	1	0	1	5	OM7	59	34	1	0	1	16	(2:6)_(4:4aCO)	257	224955	225916	OM	499.172633096797	5.7904	446.77510041037	558.413864469617	657.635359510715	499.472403363363	447.043433393393	558.749283723724	658.030376216216	5.79387771771772	0.9994	0.9994	0.9994	0.9994	0.9994	0	1	0	0	1	0	0	6:2/2:6 Segment	single	150_300	AC	
661	430	289	570	(2:6)	2	6	490952	491135	491424	491522	9	1221.7056	1478.9335	837.4892	1259.1476	52.2246	3	863	58.58310626703	1	0	1	5	OM8	59	1_2_3	1	0	2	32	(3:5)_(2:6)_(3:5a)_(4:4aCO)	605	490947	491681	OM	994.612942534183	50.9772	1185.22505289124	670.405083240547	1182.59797556404	806.920268829664	976.815869061414	553.150456546929	831.650210892236	34.4936523754345	1.2326	1.2134	1.212	1.422	1.4779	0	1	0	0	1	0	0	6:2/2:6 Segment	single	150_300	CC1	
663	234	0	469	(2:6)	78	1	525834	526150	526150	526303	2	71.4789	70.2858	69.6536	10.3421	0.348	2	803	48.9539748953975	1	0	1	5	OM9	59	78_2	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	154	525992.25	526470.25	OM	68.0506408799872	0.348	67.4467456646895	66.6241293950089	9.91728942407269	41.7479503113325	41.0511085927771	40.6818660024907	6.04040460772105	0.203252801992528	1.63	1.643	1.6377	1.6418	1.7122	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
665	298	19	578	(2:6)	56	2	333453	333669	333688	334031	26	833.9198	930.909	1086.4489	2580.5876	20.2534	7	2783	11.9486768243785	3	0	1	5	OM2	60	56_1256_6_6_6_5_5	1	0	3	20	(2:6)_(6:2)_(5:3)_(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	2206	333561.25	336055.25	OM	2.43440245545175	0	1.1197746969699	1.5212248989545	2.14293238828801	173.196422709307	193.340065397054	225.644076248653	535.961061013295	4.20641940352138	0.0141	0.0058	0.0067	0.004	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
666	332	144	520	(6:2)	1256	3	333688	334031	334175	334208	26	833.9198	930.909	1086.4489	2580.5876	20.2534	7	2783	13.3119486768244	3	0	1	5	OM2	60	56_1256_6_6_6_5_5	1	0	3	20	(2:6)_(6:2)_(5:3)_(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	2206	333561.25	336055.25	OM	2.07771418377203	0	0.965136762042214	1.1143379971893	2.10351891797779	155.816850880345	173.93915918074	203.001591088753	482.179501257636	3.78432195472512	0.0133	0.0055	0.0055	0.0044	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
668	172	0	345	(6:2)	6	1	334331	334460	334460	334676	26	833.9198	930.909	1086.4489	2580.5876	20.2534	7	2783	6.89655172413793	3	0	1	5	OM2	60	56_1256_6_6_6_5_5	1	0	3	20	(2:6)_(6:2)_(5:3)_(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	2206	333561.25	336055.25	OM	48.1671201917865	0.0628	41.7519423568634	47.6204706467836	10.7722816340763	103.378487603306	115.40194214876	134.683747933884	319.907553719008	2.5107520661157	0.4659	0.3618	0.3536	0.0337	0.025	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
673	416	0	832	2:6	2	1	123839	124322	124322	124671	2	1134.1392	1270.8876	1316.2259	1069.4471	25.4192	2	1340	45.6140350877193	1	0	0	7	OM4	60	1_2	1	1	1	8	3:5_2:6	484	123584.5	124496.5	OM	398.055008941977	5.923	403.081781805764	450.003210425676	696.710514195072	704.181951044776	789.088420298507	817.238767761194	664.014915820896	15.7826674626866	0.5653	0.5108	0.5506	1.0492	0.3753	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN2	
674	887	16	1758	(2:6)	78	2	92892	93381	93397	94650	2	267.4171	284.2792	240.1129	191.6704	4.7928	1	1757	100	1	0	1	7	OM6	60	78	1	0	1	16	(2:6)_(4:4aCO)	17	93136.5	94023.5	OM	267.417079228874	4.7928	284.279237819086	240.112882637159	191.670407041679	267.569300967558	284.440998064883	240.249560728515	191.779489584519	4.79552783153102	0.9994	0.9994	0.9994	0.9994	0.9994	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
677	358	0	717	(2:6)	78	1	848688	849134	849134	849405	3	1828.1856	2213.3036	2816.8106	4842.3993	89.7536	3	1424	33.965844402277	1	0	1	7	OM3	61	8_8_78	1	0	1	12	(3:5)_(4:4)_(2:6)_(4:4aCO)	683	848215.75	849269.75	OM	1549.9115654496	84.5078	1995.31728026095	2525.08570073373	4055.67340425485	920.511991011236	1114.42323117978	1418.2957866573	2438.2024565309	45.1919460674157	1.6837	1.7904	1.7804	1.6634	1.87	0	2	0	681.5	2	0	666	6:2/2:6 Segment	single	30_150	AC	
678	344	210	477	(6:2)	56	3	414243	414432	414642	414720	3	434.3955	441.6471	559.9003	164.0193	7.0758	1	476	100	1	0	1	5	OM1	62	56	1	0	1	15	(6:2)_(4:4aCO)	211	414337.25	414681.25	OM	434.395502331016	7.0758	441.647142447927	559.900281934497	164.019256730158	435.308095588235	442.574930042017	561.076561134454	164.363878361345	7.09066512605042	0.9979	0.9979	0.9979	0.9979	0.9979	0	1	0	0	1	0	0	6:2/2:6 Segment	single	150_300	AC	
680	1150	966	1333	(2:6)	2	8	393024	393117	394083	394357	11	97.3787	103.6578	78.6973	69.3708	0.5086	2	2030	69.6969696969697	1	0	1	5	OM2	62	1_2	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	1271	392569.75	394219.75	OM	96.4415669442887	0.5086	103.278335673277	78.5302722756682	68.3472589880269	63.9437473399015	68.0669199014778	51.6766014285714	45.5523529064039	0.333972315270936	1.5082	1.5173	1.5196	1.5004	1.5229	0	1	0	0	1	0	0	6:2/2:6 Segment	single	750_1000	AC	
681	360	61	660	(6:2)	78	3	197816	197942	198003	198476	11	255.4543	282.873	304.21	342.0403	8.9342	4	2534	16.0427807486631	1	0	1	7	OM6	62	78_78_4_78	1	0	3	20	(6:2)_(4:4)_(3:5)_(5:3)_(4:4aCO)	1953	197878.75	200122.75	OM	137.751690195957	7.6886	147.848269324265	175.708027228474	239.541968066794	66.5350584056827	73.6764719810576	79.2338595106551	89.0870552486188	2.3269818468824	2.0704	2.0067	2.2176	2.6889	3.3041	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
