SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	Event_len_min	nb_62_seg	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	debut	fin
497	706	                      360	1052	(5:3)	3	7	1216449	1216848	1217208	1217501	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
498	300	0	599	(4:4)	3	1	1217208	1217501	1217501	1217807	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
499	382	0	764	(5:3)	3	1	1217501	1217807	1217807	1218265	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
500	310	0	620	(4:4ai)	1	1	1217807	1218265	1218265	1218427	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
501	108	18	198	(3:5)	2	4	1218265	1218427	1218445	1218463	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
502	84	0	167	(2:6)	3	1	1218445	1218463	1218463	1218612	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
503	904	553	1255	(3:5)	3	5	1218463	1218612	1219165	1219718	20	163.7771	157.8025	220.9212	37.8409	0.6068	7	3268	2793	2318	1	1	4	OM7	46	3_3_3_1_2_3_3	1	0	3	21	(5:3)_(4:4)_(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1216648.5	1219441.5
504	1200	                      422	1978	(6:2)	12	3	1021040	1022238	1022660	1023018	5	476.6307	387.9077	509.9149	988.0174	11.5566	2	3238	2343	1448	1	1	4	OM9	46	12_256	1	0	3	20	(6:2)_(3:5)_(4:4aCO)	1021639	1023982
505	1143	667	1619	(3:5)	256	2	1022660	1023018	1023685	1024279	5	476.6307	387.9077	509.9149	988.0174	11.5566	2	3238	2343	1448	1	1	4	OM9	46	12_256	1	0	3	20	(6:2)_(3:5)_(4:4aCO)	1021639	1023982
506	470	0	941	(6:2)	34	1	908967	909447	909447	909908	1	292.8936	283.2551	283.7403	368.7299	4.0214	1	940	470	1	1	1	4	OM1	47	34	1	0	1	15	(6:2)_(4:4aCO)	909207.25	909677.25
507	204	                      49	359	(3:5)	6	2	24966	25188	25237	25325	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
508	322	7	637	(4:4)	6	2	25237	25325	25332	25874	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
509	734	448	1020	(3:5)	6	6	25332	25874	26322	26352	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
510	46	0	91	(2:6)	5	1	26322	26352	26352	26413	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
511	1056	859	1252	(3:5)	5	10	26352	26413	27272	27604	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
512	604	328	879	(2:6)	5	5	27272	27604	27932	28151	26	1369.6807	1275.6174	1292.8512	329.4305	36.734	6	3184	2964	2745	2	1	5	OM4	47	6_6_6_5_5_5	1	0	1	12	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(2:6)_(4:4aCO)	25077.25	28041.25
513	236	0	473	(6:2)	78	1	98381	98507	98507	98854	1	13.0867	7.8583	20.7877	19.1194	0	1	472	236	1	1	1	5	OM5	47	78	1	0	1	15	(6:2)_(4:4aCO)	98444.25	98680.25
514	1246	                      685	1808	(3:5)	3	6	212944	213244	213929	214752	7	509.8892	421.9122	426.3914	138.1649	9.7254	2	1948	1728	1509	1	1	5	OM6	47	3_4	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	213094.25	214822.25
515	482	0	964	(2:6)	4	1	213929	214752	214752	214893	7	509.8892	421.9122	426.3914	138.1649	9.7254	2	1948	1728	1509	1	1	5	OM6	47	3_4	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	213094.25	214822.25
516	233	                      99	367	(3:5)	6	2	173398	173500	173599	173765	7	282.1948	299.2358	409.9698	163.43	3.9494	4	1283	1170	1057	1	1	6	OM3	48	6_125_12_1	1	0	2	32	(3:5)_(4:4aCO)_(2:6)_(3:5a)_(4:4a)	173449	174619
517	256	0	513	(4:4aCO)	125	1	173599	173765	173765	174112	7	282.1948	299.2358	409.9698	163.43	3.9494	4	1283	1170	1057	1	1	6	OM3	48	6_125_12_1	1	0	2	32	(3:5)_(4:4aCO)_(2:6)_(3:5a)_(4:4a)	173449	174619
518	360	0	719	(2:6)	12	1	173765	174112	174112	174484	7	282.1948	299.2358	409.9698	163.43	3.9494	4	1283	1170	1057	1	1	6	OM3	48	6_125_12_1	1	0	2	32	(3:5)_(4:4aCO)_(2:6)_(3:5a)_(4:4a)	173449	174619
519	321	72	570	(3:5a)	1	3	174112	174484	174556	174682	7	282.1948	299.2358	409.9698	163.43	3.9494	4	1283	1170	1057	1	1	6	OM3	48	6_125_12_1	1	0	2	32	(3:5)_(4:4aCO)_(2:6)_(3:5a)_(4:4a)	173449	174619
520	530	                      347	714	(5:3)	4	5	45665	45963	46310	46379	16	228.5494	266.0751	270.4833	211.9035	2.131	5	2590	1896	1203	1	0	5	OM4	48	4_3_1_2_124	2	2	0	3	(5:3)_(6:2)_(5:3a)_(4:4aCO)_(5:3b)_(4:4CO)	45814.25	47710.25
521	142	4	279	(6:2)	3	3	46310	46379	46383	46589	16	228.5494	266.0751	270.4833	211.9035	2.131	5	2590	1896	1203	1	0	5	OM4	48	4_3_1_2_124	2	2	0	3	(5:3)_(6:2)_(5:3a)_(4:4aCO)_(5:3b)_(4:4CO)	45814.25	47710.25
522	132	0	264	(5:3a)	1	1	46383	46589	46589	46647	16	228.5494	266.0751	270.4833	211.9035	2.131	5	2590	1896	1203	1	0	5	OM4	48	4_3_1_2_124	2	2	0	3	(5:3)_(6:2)_(5:3a)_(4:4aCO)_(5:3b)_(4:4CO)	45814.25	47710.25
523	75	0	150	(4:4aCO)	2	1	46589	46647	46647	46739	16	228.5494	266.0751	270.4833	211.9035	2.131	5	2590	1896	1203	1	0	5	OM4	48	4_3_1_2_124	2	2	0	3	(5:3)_(6:2)_(5:3a)_(4:4aCO)_(5:3b)_(4:4CO)	45814.25	47710.25
524	1018	426	1609	(5:3b)	124	6	46647	46739	47165	48256	16	228.5494	266.0751	270.4833	211.9035	2.131	5	2590	1896	1203	1	0	5	OM4	48	4_3_1_2_124	2	2	0	3	(5:3)_(6:2)_(5:3a)_(4:4aCO)_(5:3b)_(4:4CO)	45814.25	47710.25
525	192	                      160	223	3:5	3	5	187482	187519	187679	187705	9	287.2102	265.1936	355.3663	620.9497	5.8478	3	952	636	320	1	0	5	OM5	48	3_3_34	1	1	1	8	3:5_4:4_2:6	187500.5	188136.5
526	129	100	158	4:4	3	2	187679	187705	187805	187837	9	287.2102	265.1936	355.3663	620.9497	5.8478	3	952	636	320	1	0	5	OM5	48	3_3_34	1	1	1	8	3:5_4:4_2:6	187500.5	188136.5
527	316	1	630	2:6	34	2	187805	187837	187838	188435	9	287.2102	265.1936	355.3663	620.9497	5.8478	3	952	636	320	1	0	5	OM5	48	3_3_34	1	1	1	8	3:5_4:4_2:6	187500.5	188136.5
528	583	                      0	1166	(6:2)	34	1	201006	201879	201879	202172	11	634.2125	490.8743	495.9989	879.455	24.095	4	2825	2326	1828	1	1	5	OM4	49	34_8_7_7	1	0	1	12	(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	201442.75	203768.75
529	326	60	591	(5:3)	8	2	201879	202172	202232	202470	11	634.2125	490.8743	495.9989	879.455	24.095	4	2825	2326	1828	1	1	5	OM4	49	34_8_7_7	1	0	1	12	(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	201442.75	203768.75
530	197	0	394	(4:4aCO)	7	1	202232	202470	202470	202626	11	634.2125	490.8743	495.9989	879.455	24.095	4	2825	2326	1828	1	1	5	OM4	49	34_8_7_7	1	0	1	12	(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	201442.75	203768.75
531	1221	1080	1362	(5:3)	7	7	202470	202626	203706	203832	11	634.2125	490.8743	495.9989	879.455	24.095	4	2825	2326	1828	1	1	5	OM4	49	34_8_7_7	1	0	1	12	(6:2)_(5:3)_(4:4aCO)_(5:3)_(4:4a)	201442.75	203768.75
532	768	                      446	1089	5:3	4	6	1417050	1417646	1418092	1418139	10	399.91	423.0597	434.4862	844.3963	10.1514	3	2180	1736	1292	1	0	4	OM2	50	4_3_3	1	1	1	3	5:3_6:2_5:3	1417348	1419084
533	285	0	570	6:2	3	1	1418092	1418139	1418139	1418662	10	399.91	423.0597	434.4862	844.3963	10.1514	3	2180	1736	1292	1	0	4	OM2	50	4_3_3	1	1	1	3	5:3_6:2_5:3	1417348	1419084
534	684	275	1092	5:3	3	3	1418139	1418662	1418937	1419231	10	399.91	423.0597	434.4862	844.3963	10.1514	3	2180	1736	1292	1	0	4	OM2	50	4_3_3	1	1	1	3	5:3_6:2_5:3	1417348	1419084
535	622	                      80	1164	3:5	4	3	233356	234239	234319	234520	12	78.2725	64.5694	78.2247	30.7277	0.425	4	2138	1416	693	1	0	5	OM4	50	4_3_3_34	1	1	2	14	3:5_2:6_3:5_3:5a	233797.25	235213.25
536	130	0	260	2:6	3	1	234319	234520	234520	234579	12	78.2725	64.5694	78.2247	30.7277	0.425	4	2138	1416	693	1	0	5	OM4	50	4_3_3_34	1	1	2	14	3:5_2:6_3:5_3:5a	233797.25	235213.25
537	150	75	224	3:5	3	3	234520	234579	234654	234744	12	78.2725	64.5694	78.2247	30.7277	0.425	4	2138	1416	693	1	0	5	OM4	50	4_3_3_34	1	1	2	14	3:5_2:6_3:5_3:5a	233797.25	235213.25
538	514	187	841	3:5a	34	5	234654	234744	234931	235495	12	78.2725	64.5694	78.2247	30.7277	0.425	4	2138	1416	693	1	0	5	OM4	50	4_3_3_34	1	1	2	14	3:5_2:6_3:5_3:5a	233797.25	235213.25
539	1471	                      1393	1549	(5:3)	1	8	1362965	1363089	1364482	1364514	27	429.2798	609.0932	597.1251	1527.431	9.428	5	4782	4524	4267	1	1	4	OM7	50	1_2_2_28_78	1	0	2	30	(5:3)_(6:2)_(5:3)_(5:3a)_(5:3b)_(4:4aCO)	1363027.25	1367551.25
540	134	0	268	(6:2)	2	1	1364482	1364514	1364514	1364750	27	429.2798	609.0932	597.1251	1527.431	9.428	5	4782	4524	4267	1	1	4	OM7	50	1_2_2_28_78	1	0	2	30	(5:3)_(6:2)_(5:3)_(5:3a)_(5:3b)_(4:4aCO)	1363027.25	1367551.25
541	1574	1367	1780	(5:3)	2	10	1364514	1364750	1366117	1366294	27	429.2798	609.0932	597.1251	1527.431	9.428	5	4782	4524	4267	1	1	4	OM7	50	1_2_2_28_78	1	0	2	30	(5:3)_(6:2)_(5:3)_(5:3a)_(5:3b)_(4:4aCO)	1363027.25	1367551.25
542	756	612	900	(5:3a)	28	4	1366117	1366294	1366906	1367017	27	429.2798	609.0932	597.1251	1527.431	9.428	5	4782	4524	4267	1	1	4	OM7	50	1_2_2_28_78	1	0	2	30	(5:3)_(6:2)_(5:3)_(5:3a)_(5:3b)_(4:4aCO)	1363027.25	1367551.25
543	590	338	842	(5:3b)	78	4	1366906	1367017	1367355	1367748	27	429.2798	609.0932	597.1251	1527.431	9.428	5	4782	4524	4267	1	1	4	OM7	50	1_2_2_28_78	1	0	2	30	(5:3)_(6:2)_(5:3)_(5:3a)_(5:3b)_(4:4aCO)	1363027.25	1367551.25
544	777	                      639	915	(3:5)	4	3	1419366	1419516	1420155	1420281	11	1470.7189	1484.6703	1095.6389	2696.9243	74.7808	4	1658	1542	1426	1	1	4	OM9	50	4_12_12_3	1	0	3	20	(3:5)_(5:3)_(3:5)_(2:6)_(4:4aCO)	1419441	1420983
545	186	0	373	(5:3)	12	1	1420155	1420281	1420281	1420528	11	1470.7189	1484.6703	1095.6389	2696.9243	74.7808	4	1658	1542	1426	1	1	4	OM9	50	4_12_12_3	1	0	3	20	(3:5)_(5:3)_(3:5)_(2:6)_(4:4aCO)	1419441	1420983
546	532	404	660	(3:5)	12	6	1420281	1420528	1420932	1420941	11	1470.7189	1484.6703	1095.6389	2696.9243	74.7808	4	1658	1542	1426	1	1	4	OM9	50	4_12_12_3	1	0	3	20	(3:5)_(5:3)_(3:5)_(2:6)_(4:4aCO)	1419441	1420983
547	46	0	93	(2:6)	3	1	1420932	1420941	1420941	1421025	11	1470.7189	1484.6703	1095.6389	2696.9243	74.7808	4	1658	1542	1426	1	1	4	OM9	50	4_12_12_3	1	0	3	20	(3:5)_(5:3)_(3:5)_(2:6)_(4:4aCO)	1419441	1420983
548	120	9	231	6:2	34	2	1420794	1420932	1420941	1421025	2	747.7323	615.7447	415.1243	1011.9083	45.99	1	230	120	10	1	0	4	OM2	51	34	1	1	1	10	6:2	1420863	1420983
549	301	0	602	(6:2)	34	1	1476514	1476956	1476956	1477116	1	1201.2409	1174.3964	912.7004	1158.8657	25.4586	1	601	301	1	1	1	4	OM8	51	34	1	0	1	15	(6:2)_(4:4aCO)	1476735	1477036
550	606	                      73	1139	(3:5)	4	3	1241519	1242168	1242241	1242658	4	1152.9576	1342.6533	1429.9636	1211.0027	40.1894	2	4671	2581	491	1	1	4	OM1	52	4_3	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	1241843.5	1244424.5
551	1975	0	3950	(2:6)	3	1	1242241	1242658	1242658	1246191	4	1152.9576	1342.6533	1429.9636	1211.0027	40.1894	2	4671	2581	491	1	1	4	OM1	52	4_3	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	1241843.5	1244424.5
552	112	                      0	225	(3:5)	8	1	147249	147427	147427	147474	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	1003	429	2	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	147338	148341
553	62	3	120	(2:6)	7	2	147427	147474	147477	147547	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	1003	429	2	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	147338	148341
554	69	12	126	(4:4)	78	2	147477	147547	147559	147603	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	1003	429	2	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	147338	148341
555	196	95	296	(5:3)	2	3	147559	147603	147698	147855	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	1003	429	2	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	147338	148341
556	564	0	1129	(6:2)	1	1	147698	147855	147855	148827	9	239.4979	206.5184	217.3638	27.6345	1.4146	5	1577	1003	429	2	1	7	OM3	52	8_7_78_2_1	1	0	3	20	(3:5)_(2:6)_(4:4)_(5:3)_(6:2)_(4:4aCO)	147338	148341
557	668	                      0	1337	(4:4ai)	27	1	487689	488899	488899	489026	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	3082	2429	1	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	488293.75	491375.75
558	1558	1490	1625	(5:3)	1	11	488899	489026	490516	490524	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	3082	2429	1	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	488293.75	491375.75
559	89	0	178	(4:4bCO)	8	1	490516	490524	490524	490694	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	3082	2429	1	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	488293.75	491375.75
560	686	568	803	(3:5)	1	8	490524	490694	491262	491327	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	3082	2429	1	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	488293.75	491375.75
561	81	0	162	(2:6)	2	1	491262	491327	491327	491424	22	1093.7973	1327.049	782.6361	1339.7463	49.777	5	3734	3082	2429	1	1	5	OM4	52	27_1_8_1_2	1	0	3	21	(4:4ai)_(5:3)_(4:4bCO)_(3:5)_(2:6)_(4:4b)	488293.75	491375.75
562	1383	                      795	1971	(5:3)	6	7	465974	466823	467618	467945	9	348.9409	348.3427	456.3054	342.4122	3.829	2	2740	1940	1141	1	1	5	OM6	52	6_5	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	466398.75	468338.75
563	558	18	1097	(6:2)	5	2	467618	467945	467963	468715	9	348.9409	348.3427	456.3054	342.4122	3.829	2	2740	1940	1141	1	1	5	OM6	52	6_5	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	466398.75	468338.75
564	1260	                      929	1590	(5:3)	5	6	1463798	1464429	1465358	1465388	10	76.6743	131.3457	55.9603	19.937	1.1034	2	2418	1975	1532	1	1	4	OM7	52	5_6	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	1464113.5	1466088.5
565	716	572	859	(6:2)	6	4	1465358	1465388	1465960	1466217	10	76.6743	131.3457	55.9603	19.937	1.1034	2	2418	1975	1532	1	1	4	OM7	52	5_6	1	0	1	7	(5:3)_(6:2)_(4:4aCO)	1464113.5	1466088.5
566	905	0	1810	(6:2)	34	1	1268647	1269918	1269918	1270457	1	1123.5393	1147.857	1199.6715	522.5336	40.7518	1	1809	905	1	1	1	4	OM1	53	34	1	0	1	15	(6:2)_(4:4aCO)	1269282.5	1270187.5
567	774	148	1401	(6:2)	34	2	1474578	1475249	1475397	1475979	2	5.8452	3.3213	1.9159	3.9238	0	1	1400	774	149	1	1	4	OM2	53	34	1	0	1	15	(6:2)_(4:4aCO)	1474913.75	1475687.75
568	266	                      0	532	(3:5)	128	1	253383	253849	253849	253915	16	238.9321	258.1176	346.0234	233.8893	7.8088	2	1105	840	574	1	1	7	OM3	53	128_127	1	0	3	20	(3:5)_(6:2)_(4:4aCO)	253615.75	254455.75
569	574	507	640	(6:2)	127	15	253849	253915	254422	254489	16	238.9321	258.1176	346.0234	233.8893	7.8088	2	1105	840	574	1	1	7	OM3	53	128_127	1	0	3	20	(3:5)_(6:2)_(4:4aCO)	253615.75	254455.75
570	829	                      729	929	(3:5)	1	4	521881	522010	522739	522810	6	976.8133	861.088	670.1094	130.5188	12.334	2	1378	1134	890	1	1	5	OM4	53	1_2	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	521945.5	523079.5
571	305	89	521	(2:6)	2	2	522739	522810	522899	523260	6	976.8133	861.088	670.1094	130.5188	12.334	2	1378	1134	890	1	1	5	OM4	53	1_2	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	521945.5	523079.5
572	92	                      0	183	(5:3)	7	1	1497031	1497133	1497133	1497214	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	965	875	2	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1497082	1498047
573	201	0	402	(6:2)	8	1	1497133	1497214	1497214	1497535	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	965	875	2	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1497082	1498047
574	560	350	769	(4:4aCO)	56	7	1497214	1497535	1497885	1497983	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	965	875	2	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1497082	1498047
575	113	24	202	(2:6)	78	2	1497885	1497983	1498007	1498087	11	117.4421	134.0031	75.0799	20.9569	0.6752	4	1055	965	875	2	1	4	OM7	53	7_8_56_78	1	0	3	20	(5:3)_(6:2)_(4:4aCO)_(2:6)_(4:4a)	1497082	1498047
576	232	101	363	(2:6)	12	5	79940	80081	80182	80303	5	117.0841	120.3272	95.7115	61.1526	2.5946	1	362	232	102	1	1	5	OM8	53	12	1	0	1	16	(2:6)_(4:4aCO)	80010.5	80242.5
577	482	                      0	965	(6:2)	56	1	398049	398825	398825	399014	3	969.7964	1270.3591	1435.7821	2114.3486	52.8904	2	1444	826	208	1	1	7	OM3	54	56_8	1	0	1	8	(6:2)_(5:3)_(4:4aCO)	398437	399263
578	344	18	669	(5:3)	8	2	398825	399014	399032	399494	3	969.7964	1270.3591	1435.7821	2114.3486	52.8904	2	1444	826	208	1	1	7	OM3	54	56_8	1	0	1	8	(6:2)_(5:3)_(4:4aCO)	398437	399263
579	458	43	874	(2:6)	56	3	39690	40189	40232	40564	3	258.3457	210.8263	178.5606	142.6442	5.3054	1	873	458	44	1	1	6	OM6	54	56	1	0	1	16	(2:6)_(4:4aCO)	39939.75	40397.75
580	537	                      389	685	3:5	7	11	11847	12024	12413	12532	32	34.8172	38.4106	54.4866	8.7394	0.1384	4	1598	1441	1284	1	0	5	OM7	54	7_7_78_8	1	1	1	4	3:5_4:4_2:6_3:5	11935.5	13376.5
581	79	0	158	4:4	7	1	12413	12532	12532	12571	32	34.8172	38.4106	54.4866	8.7394	0.1384	4	1598	1441	1284	1	0	5	OM7	54	7_7_78_8	1	1	1	4	3:5_4:4_2:6_3:5	11935.5	13376.5
582	41	14	68	2:6	78	2	12532	12571	12585	12600	32	34.8172	38.4106	54.4866	8.7394	0.1384	4	1598	1441	1284	1	0	5	OM7	54	7_7_78_8	1	1	1	4	3:5_4:4_2:6_3:5	11935.5	13376.5
583	784	707	861	3:5	8	18	12585	12600	13307	13446	32	34.8172	38.4106	54.4866	8.7394	0.1384	4	1598	1441	1284	1	0	5	OM7	54	7_7_78_8	1	1	1	4	3:5_4:4_2:6_3:5	11935.5	13376.5
584	320	                      168	472	(3:5)	3	2	227640	227836	228004	228112	7	183.163	144.1069	161.2861	115.3237	2.008	3	1302	1120	939	1	1	5	OM8	54	3_3_34	1	0	1	12	(3:5)_(4:4)_(2:6)_(4:4aCO)	227738.25	228858.25
585	355	3	707	(4:4)	3	2	228004	228112	228115	228711	7	183.163	144.1069	161.2861	115.3237	2.008	3	1302	1120	939	1	1	5	OM8	54	3_3_34	1	0	1	12	(3:5)_(4:4)_(2:6)_(4:4aCO)	227738.25	228858.25
586	446	63	828	(2:6)	34	3	228115	228711	228774	228943	7	183.163	144.1069	161.2861	115.3237	2.008	3	1302	1120	939	1	1	5	OM8	54	3_3_34	1	0	1	12	(3:5)_(4:4)_(2:6)_(4:4aCO)	227738.25	228858.25
587	346	                      0	692	(2:6)	34	1	1509719	1509983	1509983	1510411	3	15.231	17.7871	11.2172	4.8259	0	3	1293	910	528	2	1	4	OM1	55	34_34_34	1	0	1	12	(2:6)_(4:4)_(2:6)_(4:4aCO)	1509851.25	1510761.25
588	264	0	527	(4:4)	34	1	1509983	1510411	1510411	1510510	3	15.231	17.7871	11.2172	4.8259	0	3	1293	910	528	2	1	4	OM1	55	34_34_34	1	0	1	12	(2:6)_(4:4)_(2:6)_(4:4aCO)	1509851.25	1510761.25
589	301	0	602	(2:6)	34	1	1510411	1510510	1510510	1511013	3	15.231	17.7871	11.2172	4.8259	0	3	1293	910	528	2	1	4	OM1	55	34_34_34	1	0	1	12	(2:6)_(4:4)_(2:6)_(4:4aCO)	1509851.25	1510761.25
590	1286	                      591	1982	(6:2)	56	4	104114	105370	105961	106096	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3350	2702	2	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	104742	108092
591	609	487	731	(4:4aCO)	12	6	105961	106096	106583	106692	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3350	2702	2	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	104742	108092
592	115	0	230	(6:2)	12	1	106583	106692	106692	106813	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3350	2702	2	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	104742	108092
593	1202	1093	1310	(4:4a)	12	10	106692	106813	107906	108002	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3350	2702	2	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	104742	108092
594	138	69	207	(5:3)	1	2	107906	108002	108071	108113	23	443.704	474.7291	402.8644	291.509	14.7416	5	3998	3350	2702	2	1	6	OM4	55	56_12_12_12_1	1	0	1	12	(6:2)_(4:4aCO)_(6:2)_(4:4a)_(5:3)_(4:4a)	104742	108092
595	1038	                      448	1627	(4:4ai)	46	2	87978	88329	88777	89605	16	163.9178	178.6514	161.1557	75.7695	1.5134	6	4113	3603	3093	1	1	6	OM6	55	46_3_6_6_36_35	1	0	2	31	(4:4ai)_(3:5)_(2:6)_(3:5)_(3:5a)_(3:5b)_(4:4bCO)	88153.5	91756.5
